string,regex,expected_match,question
SUnJose- 17h42,(\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9],<NO_MATCH>,"String: SUnJose- 17h42
Regular Expression: (\W|^)(\w*)\s-\s[0-9]?[0-9]:[0-9][0-9]"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,(2020(-03)+).*([A-Za-z]+( [A-Za-z]+)+),2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a,"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: (2020(-03)+).*([A-Za-z]+( [A-Za-z]+)+)"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,([A-Za-z]+( [A-Za-z]+)+),Z INFO,"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: ([A-Za-z]+( [A-Za-z]+)+)"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,"\[[^\]]*\].*(\s(\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)\s)+)",[org.example.Class]: This is a #simple #logline ,"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: \[[^\]]*\].*(\s(\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)\s)+)"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,"(\s(\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)\s)+)", #simple #logline ,"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: (\s(\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)\s)+)"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,([A-Za-z0-9]+(\.[A-Za-z0-9]+)+),56.123Z,"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: ([A-Za-z0-9]+(\.[A-Za-z0-9]+)+)"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,[A-Za-z0-9]+,2020,"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: [A-Za-z0-9]+"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,"([+-]?(?=\.\d|\d)(?:\d+)?(?:\.?\d*))(?:[Ee]([+-]?\d+))?.*(\s([A-Za-z]+\s)+).*\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)",2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline,"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: ([+-]?(?=\.\d|\d)(?:\d+)?(?:\.?\d*))(?:[Ee]([+-]?\d+))?.*(\s([A-Za-z]+\s)+).*\B#([A-Za-z0-9]{2,})(?![~!@#$%^&*()=+_`\-\|\/'\[\]\{\}]|[?.,]*\w)"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,[0-9]+.*(0?[0-9]|[1-5][0-9]).*(\s([A-Za-z]+\s)+).*'.*',2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value',"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: [0-9]+.*(0?[0-9]|[1-5][0-9]).*(\s([A-Za-z]+\s)+).*'.*'"
2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.,[^\]]*.*(\s+([A-Za-z]+\s+)+).*m.*(\s([A-Za-z]+\s)+)'.*',2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value',"String: 2020-03-12T13:34:56.123Z INFO  [org.example.Class]: This is a #simple #logline containing a 'value'.
Regular Expression: [^\]]*.*(\s+([A-Za-z]+\s+)+).*m.*(\s([A-Za-z]+\s)+)'.*'"
